article_id,language,title,body
1,"pcm","Sleep under net wey dem treat","Make you sleep under insecticide-treated net every night to stop malaria, especially pikin and pregnant woman."
4,"pcm","Antenatal visit","Go clinic for antenatal check-up at least four times when you dey pregnant so mama and pikin go dey healthy."
6,"pcm","Chop well without spending plenty money","Mix beans, vegetable and grain make you get balanced food without spending plenty money."
8,"pcm","Wash your hand","Wash your hand with soap and clean water before you chop and after you use toilet."
10,"pcm","Water wey safe to drink","Boil or treat water before you drink am if you no sure say e clean."
12,"pcm","First aid for burn","Put small burn under running water for around twenty minutes. No put oil or toothpaste."
14,"pcm","Vaccine for pikin","Carry your pikin go take all the routine vaccine on time to protect am from serious sickness."
17,"pcm","Fever for pikin","If pikin get fever with convulsion, fast breathing, or e no fit drink, carry am go clinic sharp sharp."
18,"pcm","Breastfeeding basics","Start to breastfeed within the first hour after birth and give only breast milk for six months."
20,"pcm","Malaria when you dey pregnant","Pregnant woman suppose sleep under treated net and take the medicine wey clinic give for malaria prevention."
