id,title,topic,summary,body,last_updated,author,status
1,"Sleeping under a treated net","Malaria","","Sleep under an insecticide-treated net every night to prevent malaria, especially children and pregnant women.","2025-01-04","A. Bello","published"
2,"malaria prevention  ","malaria ","Simple steps to avoid malaria","<p>Use treated nets, clear stagnant water, and see a clinic early if you have fever.</p>","04/01/2025","","Published"
3,"CLEARING STAGNANT WATER","MALARIA PREVENTION","Mosquitoes breed in still water","Empty containers and clear gutters so mosquitoes cannot breed near your home.","Jan 2025","A. Bello","published"
4,"Antenatal visits","Maternal health","Why to attend antenatal care","Attend antenatal check-ups at least four times during pregnancy to keep mother and baby healthy.","2024-11-30T00:00:00","N. Okoro","published"
5,"Antenatal care","Maternal Health","","Pregnant women should visit a clinic at least four times for check-ups.","30/11/2024","N. Okoro","TRUE"
6,"Eating well on a budget","Nutrition","Balanced meals with local foods","Combine beans, vegetables, and grains for a balanced meal without spending much.","2025-02-10","","published"
7,"","Nutriton","Iron-rich foods","Eat green leafy vegetables and beans to prevent anaemia.","2025-02-11","F. Yusuf","draft"
8,"Wash your hands","Hygiene","Handwashing prevents disease","Wash your hands with soap and clean water before eating and after using the toilet.","2025-03-01","","published"
9,"Handwashing","Hygiene ","","Washing hands with soap and water before meals and after the toilet stops many infections.","01/03/2025","","yes"
10,"Safe drinking water","Clean Water","Make water safe to drink","Boil or treat water before drinking if you are not sure it is clean.","2025-03-15","I. Musa","published"
11,"Typhoid and clean water","clean water","","<strong>Typhoid</strong> spreads through dirty water and food. Drink safe water and wash food well.","15/03/2025","I. Musa","Published"
12,"First aid for burns","First Aid","What to do for a minor burn","Cool a minor burn under running water for about twenty minutes. Do not apply oil or toothpaste.","2025-04-02","Dr. Ade","published"
13,"Choking help","First aid","","For a choking adult, give firm back blows between the shoulder blades and call for help.","2nd April 2025","Dr. Ade","published"
14,"Vaccines for children","Immunisation","Keep to the vaccine schedule","Take your child for all routine vaccines on time to protect against serious diseases.","2025-04-20","","published"
15,"Immunization schedule","immunisation","","Follow the national immunization schedule from birth. Free at most public clinics.","2025/04/21","","published"
16,"Family planning options","Family Planning","Spacing births safely","Talk to a health worker about safe options for spacing your children.","2025-05-05","G. Eze","published"
17,"Fever in children","Malaria","When fever is an emergency","If a child has fever with fits, fast breathing or cannot drink, go to a clinic immediately.","2025-05-06","","published"
18,"Breastfeeding basics","Maternal health","Breastfeed in the first hour","Start breastfeeding within the first hour of birth and feed only breast milk for six months.","2025-05-10","N. Okoro","Published"
19,"DIARRHOEA AND ORS","Hygiene","Treat diarrhoea with fluids","Give oral rehydration solution (ORS) and continue feeding a child with diarrhoea. Seek help if it does not stop.","10/05/2025","","published"
20,"Malaria in pregnancy","Malaria ","","Pregnant women should sleep under a treated net and take the preventive medicine a clinic gives them.","","N. Okoro","published"
21,"Healthy snacks for children ","nutrition","Better than sugary snacks","Offer fruit, groundnuts or boiled eggs instead of sweets and soft drinks.","2025-06-01","F. Yusuf","published"
22,"Clean cooking &amp; smoke","Nutrition","Reduce cooking smoke","Cook in a well-ventilated place to reduce smoke that can harm the lungs.","2025-06-02","","published"
23,"First aid kit at home","First Aid","TODO: expand this","Keep plasters, clean gauze, antiseptic and ORS at home.","2025-06-10","Dr. Ade","draft"
24,"washing hands","Hygiene","","Wash hands with soap. Especially before eating and after the toilet.","2025-06-11","","published"
